r,t,m,y,TechnologyActivityChangeByModeCostTotal
REGION1,LNDAGRSOUC01,55,2029,1.3151
REGION1,LNDAGRSOUC01,55,2030,2.4217
REGION1,LNDAGRSOUC01,56,2019,1.0808
REGION1,LNDAGRSOUC01,56,2020,0.9594
REGION1,LNDAGRSOUC01,56,2021,0.8574
REGION1,LNDAGRSOUC01,56,2022,0.7452
REGION1,LNDAGRSOUC01,56,2023,0.6518
REGION1,LNDAGRSOUC01,56,2024,0.5648
REGION1,LNDAGRSOUC01,56,2025,0.4873
REGION1,LNDAGRSOUC01,56,2026,0.4162
REGION1,LNDAGRSOUC02,55,2023,0.4615
REGION1,LNDAGRSOUC02,55,2024,1.3674
REGION1,LNDAGRSOUC02,55,2025,1.4299
REGION1,LNDAGRSOUC02,55,2026,1.4903
REGION1,LNDAGRSOUC02,55,2027,0.3942
REGION1,LNDAGRSOUC02,56,2019,2.6827
REGION1,LNDAGRSOUC02,56,2020,1.2212
REGION1,LNDAGRSOUC02,56,2021,1.2665
REGION1,LNDAGRSOUC02,56,2022,1.3032
REGION1,LNDAGRSOUC02,56,2023,0.8952
REGION1,LNDAGRSOUC03,55,2019,1.7414
REGION1,LNDAGRSOUC03,55,2020,0.2507
REGION1,LNDAGRSOUC03,55,2021,0.2949
REGION1,LNDAGRSOUC03,55,2022,0.3326
REGION1,LNDAGRSOUC03,55,2023,0.3568
REGION1,LNDAGRSOUC03,55,2024,0.4099
REGION1,LNDAGRSOUC03,55,2025,0.4162
REGION1,LNDAGRSOUC03,55,2026,0.4156
REGION1,LNDAGRSOUC03,55,2027,1.2933
REGION1,LNDAGRSOUC03,55,2028,1.3543
REGION1,LNDAGRSOUC03,55,2029,1.156
REGION1,LNDAGRSOUC03,55,2030,0.3425
REGION1,LNDAGRTIGC01,56,2019,0.5318
REGION1,LNDAGRTIGC01,56,2020,0.0796
REGION1,LNDAGRTIGC01,56,2021,0.062
REGION1,LNDAGRTIGC01,56,2022,0.087
REGION1,LNDAGRTIGC01,56,2023,0.1486
REGION1,LNDAGRTIGC01,56,2024,0.0531
REGION1,LNDAGRTIGC01,56,2025,0.0232
REGION1,LNDAGRTIGC01,56,2026,0.0149
