r,t,y,NewCapacity
REGION1,DEMINDDSL,2038,99999.0
REGION1,DEMINDDSL,2039,99999.0
REGION1,DEMINDDSL,2040,99999.0
REGION1,DEMINDELCP02,2018,99999.0
REGION1,DEMINDELCP02,2019,99999.0
REGION1,DEMINDELCP02,2020,99999.0
REGION1,DEMINDELCP02,2021,99999.0
REGION1,DEMINDELCP02,2022,99999.0
REGION1,DEMINDELCP02,2023,99999.0
REGION1,DEMINDELCP02,2024,99999.0
REGION1,DEMINDELCP02,2025,99999.0
REGION1,DEMINDELCP02,2026,99999.0
REGION1,DEMINDELCP02,2027,99999.0
REGION1,DEMINDELCP02,2028,99999.0
REGION1,DEMINDELCP02,2029,99999.0
REGION1,DEMINDELCP02,2030,99999.0
REGION1,DEMINDELCP02,2031,99999.0
REGION1,DEMINDELCP02,2032,99999.0
REGION1,DEMINDELCP02,2033,99999.0
REGION1,DEMINDELCP02,2034,99999.0
REGION1,DEMINDELCP02,2035,99999.0
REGION1,DEMINDELCP02,2036,99999.0
REGION1,DEMINDELCP02,2037,99999.0
REGION1,DEMINDELCP02,2038,99999.0
REGION1,DEMINDELCP02,2039,99999.0
REGION1,DEMINDELCP02,2040,99999.0
REGION1,DEMINDHFO,2018,99999.0
REGION1,DEMINDHFO,2019,99999.0
REGION1,DEMINDHFO,2020,99999.0
REGION1,DEMINDHFO,2021,99999.0
REGION1,DEMINDHFO,2022,99999.0
REGION1,DEMINDHFO,2023,99999.0
REGION1,DEMINDHFO,2024,99999.0
REGION1,DEMINDHFO,2025,99999.0
REGION1,DEMINDHFO,2026,99999.0
REGION1,DEMINDHFO,2027,99999.0
REGION1,DEMINDHFO,2028,99999.0
REGION1,DEMINDHFO,2029,99999.0
REGION1,DEMINDHFO,2030,99999.0
REGION1,DEMINDHFO,2031,99999.0
REGION1,DEMINDHFO,2032,99999.0
REGION1,DEMINDHFO,2033,99999.0
REGION1,DEMINDHFO,2034,99999.0
REGION1,DEMINDHFO,2035,99999.0
REGION1,DEMINDHFO,2036,99999.0
REGION1,DEMINDHFO,2037,99999.0
REGION1,DEMINDHFO,2038,99999.0
REGION1,DEMINDHFO,2039,99999.0
REGION1,DEMINDHFO,2040,99999.0
REGION1,DEMINDKER,2018,99999.0
REGION1,DEMINDKER,2019,99999.0
REGION1,DEMINDKER,2020,99999.0
REGION1,DEMINDKER,2021,99999.0
REGION1,DEMINDKER,2022,99999.0
REGION1,DEMINDKER,2023,99999.0
REGION1,DEMINDKER,2024,99999.0
REGION1,DEMINDKER,2025,99999.0
REGION1,DEMINDKER,2026,99999.0
REGION1,DEMINDKER,2027,99999.0
REGION1,DEMINDKER,2028,99999.0
REGION1,DEMINDKER,2029,99999.0
REGION1,DEMINDKER,2030,99999.0
REGION1,DEMINDKER,2031,99999.0
REGION1,DEMINDKER,2032,99999.0
REGION1,DEMINDKER,2033,99999.0
REGION1,DEMINDKER,2034,99999.0
REGION1,DEMINDKER,2035,99999.0
REGION1,DEMINDKER,2036,99999.0
REGION1,DEMINDKER,2037,99999.0
REGION1,DEMINDKER,2038,99999.0
REGION1,DEMINDKER,2039,99999.0
REGION1,DEMINDKER,2040,99999.0
REGION1,DEMINDLPG,2018,99999.0
REGION1,DEMINDLPG,2019,99999.0
REGION1,DEMINDLPG,2020,99999.0
REGION1,DEMINDLPG,2021,99999.0
REGION1,DEMINDLPG,2022,99999.0
REGION1,DEMINDLPG,2023,99999.0
REGION1,DEMINDLPG,2024,99999.0
REGION1,DEMINDLPG,2025,99999.0
REGION1,DEMINDLPG,2026,99999.0
REGION1,DEMINDLPG,2027,99999.0
REGION1,DEMINDLPG,2028,99999.0
REGION1,DEMINDLPG,2029,99999.0
REGION1,DEMINDLPG,2030,99999.0
REGION1,DEMINDLPG,2031,99999.0
REGION1,DEMINDLPG,2032,99999.0
REGION1,DEMINDLPG,2033,99999.0
REGION1,DEMINDLPG,2034,99999.0
REGION1,DEMINDLPG,2035,99999.0
REGION1,DEMINDLPG,2036,99999.0
REGION1,DEMINDLPG,2037,99999.0
REGION1,DEMINDLPG,2038,99999.0
REGION1,DEMINDLPG,2039,99999.0
REGION1,DEMINDLPG,2040,99999.0
REGION1,DEMINDNGS,2018,99999.0
REGION1,DEMINDNGS,2019,99999.0
REGION1,DEMINDNGS,2020,99999.0
REGION1,DEMINDNGS,2021,99999.0
REGION1,DEMINDNGS,2022,99999.0
REGION1,DEMINDNGS,2023,99999.0
REGION1,DEMINDNGS,2024,99999.0
REGION1,DEMINDNGS,2025,99999.0
REGION1,DEMINDNGS,2026,99999.0
REGION1,DEMINDNGS,2027,99999.0
REGION1,DEMINDNGS,2028,99999.0
REGION1,DEMINDNGS,2029,99999.0
REGION1,DEMINDNGS,2030,99999.0
REGION1,DEMINDNGS,2031,99999.0
REGION1,DEMINDNGS,2032,99999.0
REGION1,DEMINDNGS,2033,99999.0
REGION1,DEMINDNGS,2034,99999.0
REGION1,DEMINDNGS,2035,99999.0
REGION1,DEMINDNGS,2036,99999.0
REGION1,DEMINDNGS,2037,99999.0
REGION1,DEMINDNGS,2038,99999.0
REGION1,DEMINDNGS,2039,99999.0
REGION1,DEMINDNGS,2040,99999.0
REGION1,DEMOTHCRU,2018,99999.0
REGION1,DEMOTHCRU,2019,99999.0
REGION1,DEMOTHCRU,2020,99999.0
REGION1,DEMOTHCRU,2021,99999.0
REGION1,DEMOTHCRU,2022,99999.0
REGION1,DEMOTHCRU,2023,99999.0
REGION1,DEMOTHCRU,2024,99999.0
REGION1,DEMOTHCRU,2025,99999.0
REGION1,DEMOTHCRU,2026,99999.0
REGION1,DEMOTHCRU,2027,99999.0
REGION1,DEMOTHCRU,2028,99999.0
REGION1,DEMOTHCRU,2029,99999.0
REGION1,DEMOTHCRU,2030,99999.0
REGION1,DEMOTHCRU,2031,99999.0
REGION1,DEMOTHCRU,2032,99999.0
REGION1,DEMOTHCRU,2033,99999.0
REGION1,DEMOTHCRU,2034,99999.0
REGION1,DEMOTHCRU,2035,99999.0
REGION1,DEMOTHCRU,2036,99999.0
REGION1,DEMOTHCRU,2037,99999.0
REGION1,DEMOTHCRU,2038,99999.0
REGION1,DEMOTHCRU,2039,99999.0
REGION1,DEMOTHCRU,2040,99999.0
REGION1,DEMOTHELCP02,2018,99999.0
REGION1,DEMOTHELCP02,2019,99999.0
REGION1,DEMOTHELCP02,2020,99999.0
REGION1,DEMOTHELCP02,2021,99999.0
REGION1,DEMOTHELCP02,2022,99999.0
REGION1,DEMOTHELCP02,2023,99999.0
REGION1,DEMOTHELCP02,2024,99999.0
REGION1,DEMOTHELCP02,2025,99999.0
REGION1,DEMOTHELCP02,2026,99999.0
REGION1,DEMOTHELCP02,2027,99999.0
REGION1,DEMOTHELCP02,2028,99999.0
REGION1,DEMOTHELCP02,2029,99999.0
REGION1,DEMOTHELCP02,2030,99999.0
REGION1,DEMOTHELCP02,2031,99999.0
REGION1,DEMOTHELCP02,2032,99999.0
REGION1,DEMOTHELCP02,2033,99999.0
REGION1,DEMOTHELCP02,2034,99999.0
REGION1,DEMOTHELCP02,2035,99999.0
REGION1,DEMOTHELCP02,2036,99999.0
REGION1,DEMOTHELCP02,2037,99999.0
REGION1,DEMOTHELCP02,2038,99999.0
REGION1,DEMOTHELCP02,2039,99999.0
REGION1,DEMOTHELCP02,2040,99999.0
REGION1,DEMOTHHFO,2018,99999.0
REGION1,DEMOTHHFO,2019,99999.0
REGION1,DEMOTHHFO,2020,99999.0
REGION1,DEMOTHHFO,2021,99999.0
REGION1,DEMOTHHFO,2022,99999.0
REGION1,DEMOTHHFO,2023,99999.0
REGION1,DEMOTHHFO,2024,99999.0
REGION1,DEMOTHHFO,2025,99999.0
REGION1,DEMOTHHFO,2026,99999.0
