r,t,y,SalvageValue
Region1,DEMPUBWATR08,2020,0.0
Region1,DEMPUBWATR08,2021,0.0
Region1,DEMPUBWATR08,2022,0.0
Region1,DEMPUBWATR08,2023,0.0
Region1,DEMPUBWATR08,2024,0.0
Region1,DEMPUBWATR08,2025,0.0
Region1,DEMPUBWATR08,2026,0.0
Region1,DEMPUBWATR08,2027,0.0
Region1,DEMPUBWATR08,2028,0.0
Region1,DEMPUBWATR08,2029,0.0
Region1,DEMPUBWATR08,2030,0.0
Region1,DEMPUBWATR09,2014,0.0001
Region1,DEMPUBWATR09,2015,0.0
Region1,DEMPUBWATR09,2016,0.0001
Region1,DEMPUBWATR09,2017,0.0
Region1,DEMPUBWATR09,2018,0.0
Region1,DEMPUBWATR09,2019,0.0
Region1,DEMPUBWATR09,2020,0.0
Region1,DEMPUBWATR09,2021,0.0
Region1,DEMPUBWATR09,2022,0.0
Region1,DEMPUBWATR09,2023,0.0
Region1,DEMPUBWATR09,2024,0.0
Region1,DEMPUBWATR09,2025,0.0
Region1,DEMPUBWATR09,2026,0.0
Region1,DEMPUBWATR09,2027,0.0
Region1,DEMPUBWATR09,2028,0.0
Region1,DEMPUBWATR09,2029,0.0
Region1,DEMPUBWATR09,2030,0.0
Region1,DEMPUBWATR10,2014,0.0
Region1,DEMPUBWATR10,2015,0.0
Region1,DEMPUBWATR10,2016,0.0
Region1,DEMPUBWATR10,2017,0.0
Region1,DEMPUBWATR10,2018,0.0
Region1,DEMPUBWATR10,2019,0.0
Region1,DEMPUBWATR10,2020,0.0
Region1,DEMPUBWATR10,2021,0.0
Region1,DEMPUBWATR10,2022,0.0
Region1,DEMPUBWATR10,2023,0.0
Region1,DEMPUBWATR10,2024,0.0
Region1,DEMPUBWATR10,2025,0.0
Region1,DEMPUBWATR10,2026,0.0
Region1,DEMPUBWATR10,2027,0.0
Region1,DEMPUBWATR10,2028,0.0
Region1,DEMPUBWATR10,2029,0.0
Region1,DEMPUBWATR10,2030,0.0
Region1,DEMPUBWATR11,2014,0.0
Region1,DEMPUBWATR11,2015,0.0
Region1,DEMPUBWATR11,2016,0.0
Region1,DEMPUBWATR11,2017,0.0
Region1,DEMPUBWATR11,2018,0.0
Region1,DEMPUBWATR11,2019,0.0
Region1,DEMPUBWATR11,2020,0.0
Region1,DEMPUBWATR11,2021,0.0
Region1,DEMPUBWATR11,2022,0.0
Region1,DEMPUBWATR11,2023,0.0
Region1,DEMPUBWATR11,2024,0.0
Region1,DEMPUBWATR11,2025,0.0
Region1,DEMPUBWATR11,2026,0.0
Region1,DEMPUBWATR11,2027,0.0
Region1,DEMPUBWATR11,2028,0.0
Region1,DEMPUBWATR11,2029,0.0
Region1,DEMPUBWATR11,2030,0.0
Region1,DEMPUBWATR12,2014,0.0001
Region1,DEMPUBWATR12,2015,0.0
Region1,DEMPUBWATR12,2016,0.0
Region1,DEMPUBWATR12,2017,0.0
Region1,DEMPUBWATR12,2018,0.0
Region1,DEMPUBWATR12,2019,0.0
Region1,DEMPUBWATR12,2020,0.0
Region1,DEMPUBWATR12,2021,0.0
Region1,DEMPUBWATR12,2022,0.0
Region1,DEMPUBWATR12,2023,0.0
Region1,DEMPUBWATR12,2024,0.0
Region1,DEMPUBWATR12,2025,0.0
Region1,DEMPUBWATR12,2026,0.0
Region1,DEMPUBWATR12,2027,0.0
Region1,DEMPUBWATR12,2028,0.0
Region1,DEMPUBWATR12,2029,0.0
Region1,DEMPUBWATR12,2030,0.0
Region1,DEMPUBWATR13,2014,0.0
Region1,DEMPUBWATR13,2015,0.0
Region1,DEMPUBWATR13,2016,0.0
Region1,DEMPUBWATR13,2017,0.0
Region1,DEMPUBWATR13,2018,0.0
Region1,DEMPUBWATR13,2019,0.0
Region1,DEMPUBWATR13,2020,0.0
Region1,DEMPUBWATR13,2021,0.0
Region1,DEMPUBWATR13,2022,0.0
Region1,DEMPUBWATR13,2023,0.0
Region1,DEMPUBWATR13,2024,0.0
Region1,DEMPUBWATR13,2025,0.0
Region1,DEMPUBWATR13,2026,0.0
Region1,DEMPUBWATR13,2027,0.0
Region1,DEMPUBWATR13,2028,0.0
Region1,DEMPUBWATR13,2029,0.0
Region1,DEMPUBWATR13,2030,0.0
Region1,DEMPUBWATR14,2014,0.0018
Region1,DEMPUBWATR14,2015,0.0001
Region1,DEMPUBWATR14,2016,0.0001
Region1,DEMPUBWATR14,2017,0.0001
Region1,DEMPUBWATR14,2018,0.0001
Region1,DEMPUBWATR14,2019,0.0001
Region1,DEMPUBWATR14,2020,0.0001
Region1,DEMPUBWATR14,2021,0.0001
Region1,DEMPUBWATR14,2022,0.0001
Region1,DEMPUBWATR14,2023,0.0001
Region1,DEMPUBWATR14,2024,0.0001
Region1,DEMPUBWATR14,2025,0.0001
Region1,DEMPUBWATR14,2026,0.0001
Region1,DEMPUBWATR14,2027,0.0001
Region1,DEMPUBWATR14,2028,0.0001
Region1,DEMPUBWATR14,2029,0.0001
Region1,DEMPUBWATR14,2030,0.0001
Region1,DEMPUBWATR15,2014,0.0003
Region1,DEMPUBWATR15,2015,0.0001
Region1,DEMPUBWATR15,2016,0.0
Region1,DEMPUBWATR15,2017,0.0
Region1,DEMPUBWATR15,2018,0.0
Region1,DEMPUBWATR15,2019,0.0
Region1,DEMPUBWATR15,2020,0.0
Region1,DEMPUBWATR15,2021,0.0
Region1,DEMPUBWATR15,2022,0.0
Region1,DEMPUBWATR15,2023,0.0
Region1,DEMPUBWATR15,2024,0.0
Region1,DEMPUBWATR15,2025,0.0
Region1,DEMPUBWATR15,2026,0.0
Region1,DEMPUBWATR15,2027,0.0
Region1,DEMPUBWATR15,2028,0.0
Region1,DEMPUBWATR15,2029,0.0
Region1,DEMPUBWATR15,2030,0.0
Region1,DEMPUBWATR16,2014,0.0
Region1,DEMPUBWATR16,2015,0.0
Region1,DEMPUBWATR16,2016,0.0
Region1,DEMPUBWATR16,2017,0.0
Region1,DEMPUBWATR16,2018,0.0
Region1,DEMPUBWATR16,2019,0.0
Region1,DEMPUBWATR16,2020,0.0
Region1,DEMPUBWATR16,2021,0.0
Region1,DEMPUBWATR16,2022,0.0
Region1,DEMPUBWATR16,2023,0.0
Region1,DEMPUBWATR16,2024,0.0
Region1,DEMPUBWATR16,2025,0.0
Region1,DEMPUBWATR16,2026,0.0
Region1,DEMPUBWATR16,2027,0.0
Region1,DEMPUBWATR16,2028,0.0
Region1,DEMPUBWATR16,2029,0.0
Region1,DEMPUBWATR16,2030,0.0
Region1,DEMPUBWATR17,2014,0.0001
Region1,DEMPUBWATR17,2015,0.0
Region1,DEMPUBWATR17,2016,0.0
Region1,DEMPUBWATR17,2017,0.0
Region1,DEMPUBWATR17,2018,0.0
Region1,DEMPUBWATR17,2019,0.0
Region1,DEMPUBWATR17,2020,0.0
Region1,DEMPUBWATR17,2021,0.0
Region1,DEMPUBWATR17,2022,0.0
Region1,DEMPUBWATR17,2023,0.0
Region1,DEMPUBWATR17,2024,0.0
Region1,DEMPUBWATR17,2025,0.0
Region1,DEMPUBWATR17,2026,0.0
Region1,DEMPUBWATR17,2027,0.0
Region1,DEMPUBWATR17,2028,0.0
Region1,DEMPUBWATR17,2029,0.0
Region1,DEMPUBWATR17,2030,0.0
Region1,DEMPUBWATR18,2014,0.0
Region1,DEMPUBWATR18,2016,0.0
Region1,DEMPUBWATR18,2017,0.0
Region1,DEMPUBWATR18,2018,0.0
Region1,DEMPUBWATR18,2020,0.0
Region1,DEMPUBWATR18,2022,0.0
Region1,DEMPUBWATR18,2024,0.0
Region1,DEMPUBWATR18,2026,0.0
Region1,DEMPUBWATR18,2028,0.0
Region1,DEMPUBWATR18,2029,0.0
Region1,DEMPUBWATR19,2014,0.0006
Region1,DEMPUBWATR19,2016,0.0001
Region1,DEMPUBWATR19,2017,0.0
Region1,DEMPUBWATR19,2018,0.0
Region1,DEMPUBWATR19,2019,0.0
Region1,DEMPUBWATR19,2020,0.0
Region1,DEMPUBWATR19,2021,0.0
Region1,DEMPUBWATR19,2022,0.0
Region1,DEMPUBWATR19,2023,0.0
Region1,DEMPUBWATR19,2024,0.0
Region1,DEMPUBWATR19,2025,0.0
Region1,DEMPUBWATR19,2026,0.0
Region1,DEMPUBWATR19,2027,0.0
Region1,DEMPUBWATR19,2028,0.0
Region1,DEMPUBWATR19,2029,0.0
Region1,DEMPUBWATR19,2030,0.0
Region1,DEMPUBWATR20,2014,0.0
Region1,DEMPUBWATR20,2015,0.0
Region1,DEMPUBWATR20,2016,0.0
Region1,DEMPUBWATR20,2017,0.0
Region1,DEMPUBWATR20,2018,0.0
Region1,DEMPUBWATR20,2019,0.0
Region1,DEMPUBWATR20,2020,0.0
Region1,DEMPUBWATR20,2021,0.0
Region1,DEMPUBWATR20,2022,0.0
Region1,DEMPUBWATR20,2023,0.0
Region1,DEMPUBWATR20,2024,0.0
Region1,DEMPUBWATR20,2025,0.0
Region1,DEMPUBWATR20,2026,0.0
Region1,DEMPUBWATR20,2027,0.0
Region1,DEMPUBWATR20,2028,0.0
Region1,DEMPUBWATR20,2029,0.0
Region1,DEMPUBWATR20,2030,0.0
Region1,DEMPUBWATR21,2014,0.0002
Region1,DEMPUBWATR21,2015,0.0
Region1,DEMPUBWATR21,2016,0.0
Region1,DEMPUBWATR21,2017,0.0
Region1,DEMPUBWATR21,2018,0.0
Region1,DEMPUBWATR21,2019,0.0
Region1,DEMPUBWATR21,2020,0.0
Region1,DEMPUBWATR21,2021,0.0
Region1,DEMPUBWATR21,2022,0.0
Region1,DEMPUBWATR21,2023,0.0
Region1,DEMPUBWATR21,2024,0.0
Region1,DEMPUBWATR21,2025,0.0
