r,t,y,CapitalInvestment
REGION1,IMPDSL,2019,3.1236
REGION1,IMPDSL,2020,3.3431
REGION1,IMPDSL,2021,3.7151
REGION1,IMPDSL,2022,3.9915
REGION1,IMPDSL,2023,4.2673
REGION1,IMPDSL,2024,4.6037
REGION1,IMPDSL,2025,4.8799
REGION1,IMPDSL,2026,5.1555
REGION1,IMPDSL,2027,5.4311
REGION1,IMPDSL,2028,5.7065
REGION1,IMPDSL,2029,5.9824
REGION1,IMPDSL,2030,6.2582
REGION1,IMPGSL,2015,5.5894
REGION1,IMPGSL,2016,5.5894
REGION1,IMPGSL,2017,5.9096
REGION1,IMPGSL,2018,6.2299
REGION1,IMPGSL,2019,6.5502
REGION1,IMPGSL,2020,6.8705
REGION1,IMPGSL,2021,7.375
REGION1,IMPGSL,2022,7.8796
REGION1,IMPGSL,2023,8.3837
REGION1,IMPGSL,2024,8.8879
REGION1,IMPGSL,2025,9.392
REGION1,IMPGSL,2026,9.8959
REGION1,IMPGSL,2027,10.3997
REGION1,IMPGSL,2028,10.9033
REGION1,IMPGSL,2029,11.4071
REGION1,IMPGSL,2030,11.9107
REGION1,IMPLPG,2015,2.5663
REGION1,IMPLPG,2016,2.5663
REGION1,IMPLPG,2017,2.7134
REGION1,IMPLPG,2018,2.8604
REGION1,IMPLPG,2019,3.0074
REGION1,IMPLPG,2020,3.1545
REGION1,IMPLPG,2021,3.3862
REGION1,IMPLPG,2022,3.6179
REGION1,IMPLPG,2023,3.8493
REGION1,IMPLPG,2024,4.0809
REGION1,IMPLPG,2025,4.3122
REGION1,IMPLPG,2026,4.5438
REGION1,IMPLPG,2027,4.775
REGION1,IMPLPG,2028,5.0062
REGION1,IMPLPG,2029,5.2375
REGION1,IMPLPG,2030,5.4686
REGION1,LNDBLTJWA,2015,1785.1
REGION1,LNDBLTJWA,2016,30.9
REGION1,LNDBLTJWA,2017,31.0
REGION1,LNDBLTJWA,2018,33.0
REGION1,LNDBLTJWA,2019,26.0
REGION1,LNDBLTJWA,2020,26.0
REGION1,LNDBLTJWA,2021,26.0
REGION1,LNDBLTJWA,2022,27.0
REGION1,LNDBLTJWA,2023,26.0
REGION1,LNDBLTJWA,2024,27.0
REGION1,LNDBLTJWA,2025,27.0
